ID,Symbol,Company_Name,Market_Cap
289,WTW,Willis Towers Watson Public Limited Company,30.04B
290,STX,Seagate Technology Holdings plc,30.01B
291,IRM,Iron Mountain Incorporated,29.97B
292,AVB,"AvalonBay Communities, Inc.",29.16B
293,LEN,Lennar Corporation,29.06B
294,HUM,Humana Inc.,29.03B
295,EL,The Estée Lauder Companies Inc.,28.95B
296,DD,"DuPont de Nemours, Inc.",28.73B
297,VTR,"Ventas, Inc.",28.65B
298,SMCI,"Super Micro Computer, Inc.",28.46B
299,STZ,"Constellation Brands, Inc.",28.41B
300,EXE,Expand Energy Corporation,28.34B
301,KEYS,"Keysight Technologies, Inc.",28.20B
302,BR,"Broadridge Financial Solutions, Inc.",28.11B
303,WBD,"Warner Bros. Discovery, Inc.",28.11B
304,LULU,lululemon athletica inc.,27.92B
305,TSCO,Tractor Supply Company,27.57B
306,FITB,Fifth Third Bancorp,27.55B
307,K,Kellanova,27.45B
308,WRB,W. R. Berkley Corporation,27.37B
309,GIS,"General Mills, Inc.",27.37B
310,DTE,DTE Energy Company,27.31B
311,IQV,IQVIA Holdings Inc.,27.23B
312,ROL,"Rollins, Inc.",27.09B
313,VRSN,"VeriSign, Inc.",26.95B
314,AWK,"American Water Works Company, Inc.",26.89B
315,CNC,Centene Corporation,26.75B
316,EQR,Equity Residential,26.43B
317,PPG,"PPG Industries, Inc.",25.88B
318,AEE,Ameren Corporation,25.75B
319,UAL,"United Airlines Holdings, Inc.",25.73B
320,FOXA,Fox Corporation,25.57B
321,GDDY,GoDaddy Inc.,25.47B
322,TYL,"Tyler Technologies, Inc.",25.24B
323,DG,Dollar General Corporation,25.15B
324,SYF,Synchrony Financial,25.14B
325,DRI,"Darden Restaurants, Inc.",25.09B
326,VLTO,Veralto Corporation,25.08B
327,DOV,Dover Corporation,25.05B
328,IP,International Paper Company,24.90B
329,ADM,Archer-Daniels-Midland Company,24.89B
330,SBAC,SBA Communications Corporation,24.86B
331,PPL,PPL Corporation,24.81B
332,MTD,Mettler-Toledo International Inc.,24.64B
333,FOX,Fox Corporation,24.43B
334,ATO,Atmos Energy Corporation,24.28B
335,TPL,Texas Pacific Land Corporation,24.27B
336,FTV,Fortive Corporation,24.25B
337,HBAN,Huntington Bancshares Incorporated,24.23B
338,HPE,Hewlett Packard Enterprise Company,24.07B
339,NTRS,Northern Trust Corporation,24.07B
340,CBOE,"Cboe Global Markets, Inc.",23.93B
341,TDY,Teledyne Technologies Incorporated,23.83B
342,CNP,"CenterPoint Energy, Inc.",23.75B
343,STE,STERIS plc,23.39B
344,CDW,CDW Corporation,23.33B
345,CHD,"Church & Dwight Co., Inc.",23.27B
346,JBL,Jabil Inc.,23.27B
347,ES,Eversource Energy,23.26B
348,HPQ,HP Inc.,23.12B
349,CPAY,"Corpay, Inc.",23.08B
350,FE,FirstEnergy Corp.,23.01B
351,CINF,Cincinnati Financial Corporation,22.75B
352,SW,Smurfit Westrock Plc,22.42B
353,ON,ON Semiconductor Corporation,22.04B
354,WDC,Western Digital Corporation,21.97B
355,NVR,"NVR, Inc.",21.94B
356,LH,Labcorp Holdings Inc.,21.91B
357,PODD,Insulet Corporation,21.84B
358,HUBB,Hubbell Incorporated,21.77B
359,EXPE,"Expedia Group, Inc.",21.50B
360,TROW,"T. Rowe Price Group, Inc.",21.15B
361,NTAP,"NetApp, Inc.",21.10B
362,WAT,Waters Corporation,21.08B
363,PHM,"PulteGroup, Inc.",21.06B
364,RF,Regions Financial Corporation,20.99B
365,AMCR,Amcor plc,20.99B
366,DLTR,"Dollar Tree, Inc.",20.80B
367,CMS,CMS Energy Corporation,20.65B
368,DVN,Devon Energy Corporation,20.60B
369,ULTA,"Ulta Beauty, Inc.",20.56B
370,MKC,"McCormick & Company, Incorporated",20.48B
371,PTC,PTC Inc.,20.33B
372,LII,Lennox International Inc.,20.20B
373,WSM,"Williams-Sonoma, Inc.",20.18B
374,INVH,Invitation Homes Inc.,20.14B
375,LDOS,"Leidos Holdings, Inc.",19.99B
376,DGX,Quest Diagnostics Incorporated,19.87B
377,TSN,"Tyson Foods, Inc.",19.70B
378,CTRA,Coterra Energy Inc.,19.54B
379,EIX,Edison International,19.51B
380,STLD,"Steel Dynamics, Inc.",19.43B
381,CFG,"Citizens Financial Group, Inc.",19.17B
382,ESS,"Essex Property Trust, Inc.",19.06B
383,GPN,Global Payments Inc.,19.05B
384,DOW,Dow Inc.,19.01B
385,IFF,International Flavors & Fragrances Inc.,19.00B
386,L,Loews Corporation,18.88B
387,WY,Weyerhaeuser Company,18.80B
388,KEY,KeyCorp,18.78B
389,LYB,LyondellBasell Industries N.V.,18.74B
390,NI,NiSource Inc.,18.73B
391,BIIB,Biogen Inc.,18.48B
392,LUV,Southwest Airlines Co.,18.39B
393,ZBH,"Zimmer Biomet Holdings, Inc.",18.15B
394,GEN,Gen Digital Inc.,18.07B
395,TPR,"Tapestry, Inc.",18.01B
396,TRMB,Trimble Inc.,17.92B
397,MAA,"Mid-America Apartment Communities, Inc.",17.79B
398,PFG,"Principal Financial Group, Inc.",17.68B
399,HAL,Halliburton Company,17.66B
400,ERIE,Erie Indemnity Company,17.60B
401,NWS,News Corporation,17.54B
402,PNR,Pentair plc,17.03B
403,FFIV,"F5, Inc.",17.00B
404,PKG,Packaging Corporation of America,16.92B
405,FDS,FactSet Research Systems Inc.,16.81B
406,HRL,Hormel Foods Corporation,16.68B
407,NWSA,News Corporation,16.68B
408,RL,Ralph Lauren Corporation,16.66B
409,GPC,Genuine Parts Company,16.65B
410,SNA,Snap-on Incorporated,16.19B
411,FSLR,"First Solar, Inc.",16.19B
412,MOH,"Molina Healthcare, Inc.",16.12B
413,EVRG,"Evergy, Inc.",15.82B
414,EXPD,"Expeditors International of Washington, Inc.",15.73B
415,ZBRA,Zebra Technologies Corporation,15.73B
416,WST,"West Pharmaceutical Services, Inc.",15.69B
417,BALL,Ball Corporation,15.66B
418,DECK,Deckers Outdoor Corporation,15.58B
419,J,Jacobs Solutions Inc.,15.54B
420,BAX,Baxter International Inc.,15.51B
421,LNT,Alliant Energy Corporation,15.49B
422,DPZ,"Domino's Pizza, Inc.",15.13B
423,APTV,Aptiv PLC,14.94B
424,CF,"CF Industries Holdings, Inc.",14.66B
425,CLX,The Clorox Company,14.61B
426,TER,"Teradyne, Inc.",14.48B
427,TXT,Textron Inc.,14.47B
428,HOLX,"Hologic, Inc.",14.46B
429,UDR,"UDR, Inc.",14.42B
430,JBHT,"J.B. Hunt Transport Services, Inc.",14.36B
431,EG,"Everest Group, Ltd.",14.35B
432,BBY,"Best Buy Co., Inc.",14.27B
433,COO,"The Cooper Companies, Inc.",14.26B
434,KIM,Kimco Realty Corporation,14.21B
435,OMC,Omnicom Group Inc.,13.88B
436,AVY,Avery Dennison Corporation,13.75B
437,ALGN,"Align Technology, Inc.",13.65B
438,MAS,Masco Corporation,13.47B
439,IEX,IDEX Corporation,13.33B
440,INCY,Incyte Corporation,13.23B
441,BLDR,"Builders FirstSource, Inc.",13.01B
442,SOLV,Solventum Corporation,13.00B
443,JKHY,"Jack Henry & Associates, Inc.",12.97B
444,REG,Regency Centers Corporation,12.85B
445,ARE,"Alexandria Real Estate Equities, Inc.",12.77B
446,PAYC,"Paycom Software, Inc.",12.65B
447,BEN,"Franklin Resources, Inc.",12.52B
448,BF-B,Brown-Forman Corporation,12.48B
449,CPT,Camden Property Trust,12.37B
450,ALLE,Allegion plc,12.34B
451,DOC,"Healthpeak Properties, Inc.",12.34B
452,JNPR,"Juniper Networks, Inc.",12.32B
453,NDSN,Nordson Corporation,12.14B
454,BXP,"BXP, Inc.",12.05B
455,AKAM,"Akamai Technologies, Inc.",11.59B
456,UHS,"Universal Health Services, Inc.",11.56B
457,RVTY,"Revvity, Inc.",11.49B
458,CHRW,"C.H. Robinson Worldwide, Inc.",11.41B
459,MOS,The Mosaic Company,11.19B
460,SWKS,"Skyworks Solutions, Inc.",11.14B
461,POOL,Pool Corporation,11.05B
462,HST,"Host Hotels & Resorts, Inc.",11.01B
463,BG,Bunge Global SA,10.79B
464,DVA,DaVita Inc.,10.70B
465,PNW,Pinnacle West Capital Corporation,10.58B
466,VTRS,Viatris Inc.,10.49B
467,SWK,"Stanley Black & Decker, Inc.",10.48B
468,MRNA,"Moderna, Inc.",10.46B
469,GL,Globe Life Inc.,10.22B
470,HAS,"Hasbro, Inc.",10.19B
471,SJM,The J. M. Smucker Company,10.18B
472,KMX,"CarMax, Inc.",10.00B
473,AIZ,"Assurant, Inc.",9.93B
474,WBA,"Walgreens Boots Alliance, Inc.",9.90B
475,EPAM,"EPAM Systems, Inc.",9.87B
476,CAG,"Conagra Brands, Inc.",9.71B
477,WYNN,"Wynn Resorts, Limited",9.69B
478,LKQ,LKQ Corporation,9.59B
479,TAP,Molson Coors Beverage Company,9.52B
480,HII,"Huntington Ingalls Industries, Inc.",9.34B
481,MGM,MGM Resorts International,9.28B
482,AOS,A. O. Smith Corporation,9.26B
483,CPB,The Campbell's Company,9.16B
484,IPG,"The Interpublic Group of Companies, Inc.",8.95B
485,NCLH,Norwegian Cruise Line Holdings Ltd.,8.94B
486,HSIC,"Henry Schein, Inc.",8.89B
487,DAY,Dayforce Inc.,8.74B
488,EMN,Eastman Chemical Company,8.72B
489,PARA,Paramount Global,8.38B
490,GNRC,Generac Holdings Inc.,8.36B
491,MKTX,MarketAxess Holdings Inc.,8.24B
492,FRT,Federal Realty Investment Trust,8.22B
493,TECH,Bio-Techne Corporation,8.08B
494,AES,The AES Corporation,7.62B
495,ALB,Albemarle Corporation,7.59B
496,LW,"Lamb Weston Holdings, Inc.",7.49B
497,MTCH,"Match Group, Inc.",7.48B
498,CRL,"Charles River Laboratories International, Inc.",7.41B
499,IVZ,Invesco Ltd.,7.00B
500,APA,APA Corporation,6.67B
501,MHK,"Mohawk Industries, Inc.",6.53B
502,CZR,"Caesars Entertainment, Inc.",5.95B
503,ENPH,"Enphase Energy, Inc.",5.26B
