date,ticker,price
2022-07-01,SPX,3825.330078125
2022-07-05,SPX,3831.389892578125
2022-07-06,SPX,3845.080078125
2022-07-07,SPX,3902.6201171875
2022-07-08,SPX,3899.3798828125
2022-07-11,SPX,3854.429931640625
2022-07-12,SPX,3818.800048828125
2022-07-13,SPX,3801.780029296875
2022-07-14,SPX,3790.3798828125
2022-07-15,SPX,3863.159912109375
2022-07-18,SPX,3830.85009765625
2022-07-19,SPX,3936.68994140625
2022-07-20,SPX,3959.89990234375
2022-07-21,SPX,3998.949951171875
2022-07-22,SPX,3961.6298828125
2022-07-25,SPX,3966.840087890625
2022-07-26,SPX,3921.050048828125
2022-07-27,SPX,4023.610107421875
2022-07-28,SPX,4072.429931640625
2022-07-29,SPX,4130.2900390625
2022-08-01,SPX,4118.6298828125
2022-08-02,SPX,4091.18994140625
2022-08-03,SPX,4155.169921875
2022-08-04,SPX,4151.93994140625
2022-08-05,SPX,4145.18994140625
2022-08-08,SPX,4140.06005859375
2022-08-09,SPX,4122.47021484375
2022-08-10,SPX,4210.240234375
2022-08-11,SPX,4207.27001953125
2022-08-12,SPX,4280.14990234375
2022-08-15,SPX,4297.14013671875
2022-08-16,SPX,4305.2001953125
2022-08-17,SPX,4274.0400390625
2022-08-18,SPX,4283.740234375
2022-08-19,SPX,4228.47998046875
2022-08-22,SPX,4137.990234375
2022-08-23,SPX,4128.72998046875
2022-08-24,SPX,4140.77001953125
2022-08-25,SPX,4199.1201171875
2022-08-26,SPX,4057.659912109375
2022-08-29,SPX,4030.610107421875
2022-08-30,SPX,3986.159912109375
2022-08-31,SPX,3955.0
2022-09-01,SPX,3966.85009765625
2022-09-02,SPX,3924.260009765625
2022-09-06,SPX,3908.18994140625
2022-09-07,SPX,3979.8701171875
2022-09-08,SPX,4006.179931640625
2022-09-09,SPX,4067.360107421875
2022-09-12,SPX,4110.41015625
2022-09-13,SPX,3932.68994140625
2022-09-14,SPX,3946.010009765625
2022-09-15,SPX,3901.35009765625
2022-09-16,SPX,3873.330078125
2022-09-19,SPX,3899.889892578125
2022-09-20,SPX,3855.929931640625
2022-09-21,SPX,3789.929931640625
2022-09-22,SPX,3757.989990234375
2022-09-23,SPX,3693.22998046875
2022-09-26,SPX,3655.0400390625
2022-09-27,SPX,3647.2900390625
2022-09-28,SPX,3719.0400390625
2022-09-29,SPX,3640.469970703125
2022-09-30,SPX,3585.6201171875
2022-10-03,SPX,3678.429931640625
2022-10-04,SPX,3790.929931640625
2022-10-05,SPX,3783.280029296875
2022-10-06,SPX,3744.52001953125
2022-10-07,SPX,3639.659912109375
2022-10-10,SPX,3612.389892578125
2022-10-11,SPX,3588.840087890625
2022-10-12,SPX,3577.030029296875
2022-10-13,SPX,3669.909912109375
2022-10-14,SPX,3583.070068359375
2022-10-17,SPX,3677.949951171875
2022-10-18,SPX,3719.97998046875
2022-10-19,SPX,3695.159912109375
2022-10-20,SPX,3665.780029296875
2022-10-21,SPX,3752.75
2022-10-24,SPX,3797.340087890625
2022-10-25,SPX,3859.110107421875
2022-10-26,SPX,3830.60009765625
2022-10-27,SPX,3807.300048828125
2022-10-28,SPX,3901.06005859375
2022-10-31,SPX,3871.97998046875
2022-11-01,SPX,3856.10009765625
2022-11-02,SPX,3759.68994140625
2022-11-03,SPX,3719.889892578125
2022-11-04,SPX,3770.550048828125
2022-11-07,SPX,3806.800048828125
2022-11-08,SPX,3828.110107421875
2022-11-09,SPX,3748.570068359375
2022-11-10,SPX,3956.3701171875
2022-11-11,SPX,3992.929931640625
2022-11-14,SPX,3957.25
2022-11-15,SPX,3991.72998046875
2022-11-16,SPX,3958.7900390625
2022-11-17,SPX,3946.56005859375
2022-11-18,SPX,3965.340087890625
2022-11-21,SPX,3949.93994140625
2022-11-22,SPX,4003.580078125
2022-11-23,SPX,4027.260009765625
2022-11-25,SPX,4026.1201171875
2022-11-28,SPX,3963.93994140625
2022-11-29,SPX,3957.6298828125
2022-11-30,SPX,4080.110107421875
2022-12-01,SPX,4076.570068359375
2022-12-02,SPX,4071.699951171875
2022-12-05,SPX,3998.840087890625
2022-12-06,SPX,3941.260009765625
2022-12-07,SPX,3933.919921875
2022-12-08,SPX,3963.510009765625
2022-12-09,SPX,3934.3798828125
2022-12-12,SPX,3990.56005859375
2022-12-13,SPX,4019.64990234375
2022-12-14,SPX,3995.320068359375
2022-12-15,SPX,3895.75
2022-12-16,SPX,3852.360107421875
2022-12-19,SPX,3817.659912109375
2022-12-20,SPX,3821.6201171875
2022-12-21,SPX,3878.43994140625
2022-12-22,SPX,3822.389892578125
2022-12-23,SPX,3844.820068359375
2022-12-27,SPX,3829.25
2022-12-28,SPX,3783.219970703125
2022-12-29,SPX,3849.280029296875
2022-12-30,SPX,3839.5
2023-01-03,SPX,3824.139892578125
2023-01-04,SPX,3852.969970703125
2023-01-05,SPX,3808.10009765625
2023-01-06,SPX,3895.080078125
2023-01-09,SPX,3892.090087890625
2023-01-10,SPX,3919.25
2023-01-11,SPX,3969.610107421875
2023-01-12,SPX,3983.169921875
2023-01-13,SPX,3999.090087890625
2023-01-17,SPX,3990.969970703125
2023-01-18,SPX,3928.860107421875
2023-01-19,SPX,3898.85009765625
2023-01-20,SPX,3972.610107421875
2023-01-23,SPX,4019.81005859375
2023-01-24,SPX,4016.949951171875
2023-01-25,SPX,4016.219970703125
2023-01-26,SPX,4060.429931640625
2023-01-27,SPX,4070.56005859375
2023-01-30,SPX,4017.77001953125
2023-01-31,SPX,4076.60009765625
2023-02-01,SPX,4119.2099609375
2023-02-02,SPX,4179.759765625
2023-02-03,SPX,4136.47998046875
2023-02-06,SPX,4111.080078125
2023-02-07,SPX,4164.0
2023-02-08,SPX,4117.85986328125
2023-02-09,SPX,4081.5
2023-02-10,SPX,4090.4599609375
2023-02-13,SPX,4137.2900390625
2023-02-14,SPX,4136.1298828125
2023-02-15,SPX,4147.60009765625
2023-02-16,SPX,4090.409912109375
2023-02-17,SPX,4079.090087890625
2023-02-21,SPX,3997.340087890625
2023-02-22,SPX,3991.050048828125
2023-02-23,SPX,4012.320068359375
2023-02-24,SPX,3970.0400390625
2023-02-27,SPX,3982.239990234375
2023-02-28,SPX,3970.14990234375
2023-03-01,SPX,3951.389892578125
2023-03-02,SPX,3981.35009765625
2023-03-03,SPX,4045.639892578125
2023-03-06,SPX,4048.419921875
2023-03-07,SPX,3986.3701171875
2023-03-08,SPX,3992.010009765625
2023-03-09,SPX,3918.320068359375
2023-03-10,SPX,3861.590087890625
2023-03-13,SPX,3855.760009765625
2023-03-14,SPX,3919.2900390625
2023-03-15,SPX,3891.929931640625
2023-03-16,SPX,3960.280029296875
2023-03-17,SPX,3916.639892578125
2023-03-20,SPX,3951.570068359375
2023-03-21,SPX,4002.8701171875
2023-03-22,SPX,3936.969970703125
2023-03-23,SPX,3948.719970703125
2023-03-24,SPX,3970.989990234375
2023-03-27,SPX,3977.530029296875
2023-03-28,SPX,3971.27001953125
2023-03-29,SPX,4027.81005859375
2023-03-30,SPX,4050.830078125
2023-03-31,SPX,4109.31005859375
2023-04-03,SPX,4124.509765625
2023-04-04,SPX,4100.60009765625
2023-04-05,SPX,4090.3798828125
2023-04-06,SPX,4105.02001953125
2023-04-10,SPX,4109.10986328125
2023-04-11,SPX,4108.93994140625
2023-04-12,SPX,4091.949951171875
2023-04-13,SPX,4146.22021484375
2023-04-14,SPX,4137.64013671875
2023-04-17,SPX,4151.31982421875
2023-04-18,SPX,4154.8701171875
2023-04-19,SPX,4154.52001953125
2023-04-20,SPX,4129.7900390625
2023-04-21,SPX,4133.52001953125
2023-04-24,SPX,4137.0400390625
2023-04-25,SPX,4071.6298828125
2023-04-26,SPX,4055.989990234375
2023-04-27,SPX,4135.35009765625
2023-04-28,SPX,4169.47998046875
2023-05-01,SPX,4167.8701171875
2023-05-02,SPX,4119.580078125
2023-05-03,SPX,4090.75
2023-05-04,SPX,4061.219970703125
2023-05-05,SPX,4136.25
2023-05-08,SPX,4138.1201171875
2023-05-09,SPX,4119.169921875
2023-05-10,SPX,4137.64013671875
2023-05-11,SPX,4130.6201171875
2023-05-12,SPX,4124.080078125
2023-05-15,SPX,4136.27978515625
2023-05-16,SPX,4109.89990234375
2023-05-17,SPX,4158.77001953125
2023-05-18,SPX,4198.0498046875
2023-05-19,SPX,4191.97998046875
2023-05-22,SPX,4192.6298828125
2023-05-23,SPX,4145.580078125
2023-05-24,SPX,4115.240234375
2023-05-25,SPX,4151.27978515625
2023-05-26,SPX,4205.4501953125
2023-05-30,SPX,4205.52001953125
2023-05-31,SPX,4179.830078125
2023-06-01,SPX,4221.02001953125
2023-06-02,SPX,4282.3701171875
2023-06-05,SPX,4273.7900390625
2023-06-06,SPX,4283.85009765625
2023-06-07,SPX,4267.52001953125
2023-06-08,SPX,4293.93017578125
2023-06-09,SPX,4298.85986328125
2023-06-12,SPX,4338.93017578125
2023-06-13,SPX,4369.009765625
2023-06-14,SPX,4372.58984375
2023-06-15,SPX,4425.83984375
2023-06-16,SPX,4409.58984375
2023-06-20,SPX,4388.7099609375
2023-06-21,SPX,4365.68994140625
2023-06-22,SPX,4381.89013671875
2023-06-23,SPX,4348.330078125
2023-06-26,SPX,4328.81982421875
2023-06-27,SPX,4378.41015625
2023-06-28,SPX,4376.85986328125
2023-06-29,SPX,4396.43994140625
2023-06-30,SPX,4450.3798828125
2023-07-03,SPX,4455.58984375
2023-07-05,SPX,4446.81982421875
2023-07-06,SPX,4411.58984375
2023-07-07,SPX,4398.9501953125
2023-07-10,SPX,4409.52978515625
2023-07-11,SPX,4439.259765625
2023-07-12,SPX,4472.16015625
2023-07-13,SPX,4510.0400390625
2023-07-14,SPX,4505.419921875
2023-07-17,SPX,4522.7900390625
2023-07-18,SPX,4554.97998046875
2023-07-19,SPX,4565.72021484375
2023-07-20,SPX,4534.8701171875
2023-07-21,SPX,4536.33984375
2023-07-24,SPX,4554.64013671875
2023-07-25,SPX,4567.4599609375
2023-07-26,SPX,4566.75
2023-07-27,SPX,4537.41015625
2023-07-28,SPX,4582.22998046875
2023-07-31,SPX,4588.9599609375
2023-08-01,SPX,4576.72998046875
2023-08-02,SPX,4513.39013671875
2023-08-03,SPX,4501.89013671875
2023-08-04,SPX,4478.02978515625
2023-08-07,SPX,4518.43994140625
2023-08-08,SPX,4499.3798828125
2023-08-09,SPX,4467.7099609375
2023-08-10,SPX,4468.830078125
2023-08-11,SPX,4464.0498046875
2023-08-14,SPX,4489.72021484375
2023-08-15,SPX,4437.85986328125
2023-08-16,SPX,4404.330078125
2023-08-17,SPX,4370.35986328125
2023-08-18,SPX,4369.7099609375
2023-08-21,SPX,4399.77001953125
2023-08-22,SPX,4387.5498046875
2023-08-23,SPX,4436.009765625
2023-08-24,SPX,4376.31005859375
2023-08-25,SPX,4405.7099609375
2023-08-28,SPX,4433.31005859375
2023-08-29,SPX,4497.6298828125
2023-08-30,SPX,4514.8701171875
2023-08-31,SPX,4507.66015625
2023-09-01,SPX,4515.77001953125
2023-09-05,SPX,4496.830078125
2023-09-06,SPX,4465.47998046875
2023-09-07,SPX,4451.14013671875
2023-09-08,SPX,4457.490234375
2023-09-11,SPX,4487.4599609375
2023-09-12,SPX,4461.89990234375
2023-09-13,SPX,4467.43994140625
2023-09-14,SPX,4505.10009765625
2023-09-15,SPX,4450.31982421875
2023-09-18,SPX,4453.52978515625
2023-09-19,SPX,4443.9501953125
2023-09-20,SPX,4402.2001953125
2023-09-21,SPX,4330.0
2023-09-22,SPX,4320.06005859375
2023-09-25,SPX,4337.43994140625
2023-09-26,SPX,4273.52978515625
2023-09-27,SPX,4274.509765625
2023-09-28,SPX,4299.7001953125
2023-09-29,SPX,4288.0498046875
2023-10-02,SPX,4288.39013671875
2023-10-03,SPX,4229.4501953125
2023-10-04,SPX,4263.75
2023-10-05,SPX,4258.18994140625
2023-10-06,SPX,4308.5
2023-10-09,SPX,4335.66015625
2023-10-10,SPX,4358.240234375
2023-10-11,SPX,4376.9501953125
2023-10-12,SPX,4349.60986328125
2023-10-13,SPX,4327.77978515625
2023-10-16,SPX,4373.6298828125
2023-10-17,SPX,4373.2001953125
2023-10-18,SPX,4314.60009765625
2023-10-19,SPX,4278.0
2023-10-20,SPX,4224.16015625
2023-10-23,SPX,4217.0400390625
2023-10-24,SPX,4247.68017578125
2023-10-25,SPX,4186.77001953125
2023-10-26,SPX,4137.22998046875
2023-10-27,SPX,4117.3701171875
2023-10-30,SPX,4166.81982421875
2023-10-31,SPX,4193.7998046875
2023-11-01,SPX,4237.85986328125
2023-11-02,SPX,4317.77978515625
2023-11-03,SPX,4358.33984375
2023-11-06,SPX,4365.97998046875
2023-11-07,SPX,4378.3798828125
2023-11-08,SPX,4382.77978515625
2023-11-09,SPX,4347.35009765625
2023-11-10,SPX,4415.240234375
2023-11-13,SPX,4411.5498046875
2023-11-14,SPX,4495.7001953125
2023-11-15,SPX,4502.8798828125
2023-11-16,SPX,4508.240234375
2023-11-17,SPX,4514.02001953125
2023-11-20,SPX,4547.3798828125
2023-11-21,SPX,4538.18994140625
2023-11-22,SPX,4556.6201171875
2023-11-24,SPX,4559.33984375
